time,ax,ay,az,wx,wy,wz
0.034891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.100212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.141928,-0.2980,-0.0159,-0.4536,0.0000,0.0000,0.0000
0.157241,-0.2980,-0.0159,-0.4536,-0.0855,0.0175,-0.0291
0.178332,-0.2980,-0.0159,-0.4536,-0.0855,0.0175,-0.0291
0.179402,-0.0002,-0.0130,-0.0015,-0.0855,0.0175,-0.0291
0.216543,-0.0002,-0.0130,-0.0015,-0.0639,-0.0400,-0.0442
0.245478,-0.0002,-0.0130,-0.0015,-0.0639,-0.0400,-0.0442
0.248921,-0.0006,-0.2017,-0.0264,-0.0639,-0.0400,-0.0442
0.293628,-0.0006,-0.2017,-0.0264,-0.0122,0.0014,-0.0212
0.307430,-0.0006,-0.2017,-0.0264,-0.0122,0.0014,-0.0212
0.308642,0.0004,-0.1474,-0.0250,-0.0122,0.0014,-0.0212
0.360393,0.0004,-0.1474,-0.0250,-0.0126,-0.0248,-0.0547
0.381033,0.0004,-0.1474,-0.0250,-0.0126,-0.0248,-0.0547
0.385522,0.2362,-0.1196,-0.2703,-0.0126,-0.0248,-0.0547
0.428788,0.2362,-0.1196,-0.2703,0.0433,-0.0604,-0.0343
0.450607,0.2362,-0.1196,-0.2703,0.0433,-0.0604,-0.0343
0.455750,-0.0601,-0.2374,-0.0828,0.0433,-0.0604,-0.0343
0.497545,-0.0601,-0.2374,-0.0828,0.1203,-0.1248,-0.0154
0.516861,-0.0601,-0.2374,-0.0828,0.1203,-0.1248,-0.0154
0.523924,-0.2347,-0.2484,-0.0103,0.1203,-0.1248,-0.0154
0.564483,-0.2347,-0.2484,-0.0103,0.1030,-0.0129,0.0266
0.585689,-0.2347,-0.2484,-0.0103,0.1030,-0.0129,0.0266
0.593029,-0.1163,-0.0670,-0.1297,0.1030,-0.0129,0.0266
0.633045,-0.1163,-0.0670,-0.1297,0.0419,-0.1098,-0.0676
0.651953,-0.1163,-0.0670,-0.1297,0.0419,-0.1098,-0.0676
0.657965,0.2188,0.0302,-0.6456,0.0419,-0.1098,-0.0676
0.700519,0.2188,0.0302,-0.6456,0.0881,-0.0969,-0.0345
0.718964,0.2188,0.0302,-0.6456,0.0881,-0.0969,-0.0345
0.723941,-0.0721,-0.0978,-0.1611,0.0881,-0.0969,-0.0345
0.768400,-0.0721,-0.0978,-0.1611,0.0808,-0.0798,-0.0439
0.789316,-0.0721,-0.0978,-0.1611,0.0808,-0.0798,-0.0439
0.791608,0.0489,-0.1461,-0.2737,0.0808,-0.0798,-0.0439
0.835022,0.0489,-0.1461,-0.2737,0.0520,-0.0363,-0.0170
0.855217,0.0489,-0.1461,-0.2737,0.0520,-0.0363,-0.0170
0.859183,-0.0661,-0.1493,-0.2838,0.0520,-0.0363,-0.0170
0.905188,-0.0661,-0.1493,-0.2838,0.0026,-0.0021,-0.0086
0.924085,-0.0661,-0.1493,-0.2838,0.0026,-0.0021,-0.0086
0.928430,-0.0444,-0.1598,-0.3558,0.0026,-0.0021,-0.0086
0.973964,-0.0444,-0.1598,-0.3558,0.0140,0.0143,-0.0193
0.991737,-0.0444,-0.1598,-0.3558,0.0140,0.0143,-0.0193
0.994801,0.0228,-0.1934,-0.2659,0.0140,0.0143,-0.0193
1.055468,0.0228,-0.1934,-0.2659,-0.0279,-0.0183,-0.0238
1.067250,0.0228,-0.1934,-0.2659,-0.0279,-0.0183,-0.0238
1.072936,-0.0740,-0.1277,-0.4284,-0.0279,-0.0183,-0.0238
1.116226,-0.0740,-0.1277,-0.4284,-0.0255,-0.1189,-0.0475
1.141455,-0.0740,-0.1277,-0.4284,-0.0255,-0.1189,-0.0475
1.144096,-0.1193,-0.0429,-0.4211,-0.0255,-0.1189,-0.0475
1.184268,-0.1193,-0.0429,-0.4211,-0.0038,-0.2955,-0.1587
1.205881,-0.1193,-0.0429,-0.4211,-0.0038,-0.2955,-0.1587
1.208756,0.1271,-0.0798,-0.3394,-0.0038,-0.2955,-0.1587
1.251769,0.1271,-0.0798,-0.3394,0.1237,-0.3075,-0.1601
1.271662,0.1271,-0.0798,-0.3394,0.1237,-0.3075,-0.1601
1.276101,0.0927,-0.1711,0.0021,0.1237,-0.3075,-0.1601
1.322131,0.0927,-0.1711,0.0021,0.3927,-0.3211,-0.0444
1.339018,0.0927,-0.1711,0.0021,0.3927,-0.3211,-0.0444
1.342183,-0.3199,-0.2699,0.6552,0.3927,-0.3211,-0.0444
1.388419,-0.3199,-0.2699,0.6552,0.7233,-0.1621,0.0984
1.406714,-0.3199,-0.2699,0.6552,0.7233,-0.1621,0.0984
1.411375,-0.3692,-0.4809,1.0841,0.7233,-0.1621,0.0984
1.454981,-0.3692,-0.4809,1.0841,0.9844,-0.1320,0.1472
1.474125,-0.3692,-0.4809,1.0841,0.9844,-0.1320,0.1472
1.479017,-0.2440,-0.4305,1.1695,0.9844,-0.1320,0.1472
1.524332,-0.2440,-0.4305,1.1695,1.4184,-0.4983,0.0368
1.545667,-0.2440,-0.4305,1.1695,1.4184,-0.4983,0.0368
1.548292,-0.0917,-0.4989,1.2889,1.4184,-0.4983,0.0368
