time,ax,ay,az,wx,wy,wz
0.064028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.141099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.141649,-0.1574,0.2059,-0.7920,0.0000,0.0000,0.0000
0.151509,-0.1574,0.2059,-0.7920,0.0464,-0.0371,-0.0649
0.212377,-0.1574,0.2059,-0.7920,0.0464,-0.0371,-0.0649
0.213728,-0.0010,-0.0147,-0.0042,0.0464,-0.0371,-0.0649
0.227985,-0.0010,-0.0147,-0.0042,0.0344,-0.0367,-0.0472
0.281049,-0.0010,-0.0147,-0.0042,0.0344,-0.0367,-0.0472
0.282465,-0.0049,-0.1308,-0.0337,0.0344,-0.0367,-0.0472
0.297101,-0.0049,-0.1308,-0.0337,0.0244,-0.0874,-0.0048
0.345661,-0.0049,-0.1308,-0.0337,0.0244,-0.0874,-0.0048
0.347868,-0.0136,-0.1743,-0.0388,0.0244,-0.0874,-0.0048
0.363385,-0.0136,-0.1743,-0.0388,0.0094,-0.0920,-0.0165
0.412298,-0.0136,-0.1743,-0.0388,0.0094,-0.0920,-0.0165
0.415886,0.0425,-0.1468,0.0365,0.0094,-0.0920,-0.0165
0.431227,0.0425,-0.1468,0.0365,0.0016,-0.0033,0.0516
0.481258,0.0425,-0.1468,0.0365,0.0016,-0.0033,0.0516
0.483999,-0.1844,-0.4155,0.1289,0.0016,-0.0033,0.0516
0.499983,-0.1844,-0.4155,0.1289,-0.0250,-0.0365,0.0755
0.548107,-0.1844,-0.4155,0.1289,-0.0250,-0.0365,0.0755
0.552455,0.1405,-0.1503,-0.0764,-0.0250,-0.0365,0.0755
0.567976,0.1405,-0.1503,-0.0764,-0.0201,-0.0981,0.0504
0.615439,0.1405,-0.1503,-0.0764,-0.0201,-0.0981,0.0504
0.619519,0.5104,-0.0843,0.0392,-0.0201,-0.0981,0.0504
0.636215,0.5104,-0.0843,0.0392,-0.0037,-0.0136,-0.0575
0.683378,0.5104,-0.0843,0.0392,-0.0037,-0.0136,-0.0575
0.687422,0.8704,-0.1818,0.3133,-0.0037,-0.0136,-0.0575
0.703355,0.8704,-0.1818,0.3133,-0.0063,0.0925,-0.0500
0.751405,0.8704,-0.1818,0.3133,-0.0063,0.0925,-0.0500
0.754969,0.0752,-0.3033,-0.0610,-0.0063,0.0925,-0.0500
0.770679,0.0752,-0.3033,-0.0610,-0.0593,-0.0773,0.0785
0.819028,0.0752,-0.3033,-0.0610,-0.0593,-0.0773,0.0785
0.822225,-0.2345,-0.0213,-0.3188,-0.0593,-0.0773,0.0785
0.838713,-0.2345,-0.0213,-0.3188,-0.0754,-0.0611,0.0539
0.888183,-0.2345,-0.0213,-0.3188,-0.0754,-0.0611,0.0539
0.891386,0.5340,0.0271,0.2149,-0.0754,-0.0611,0.0539
0.906482,0.5340,0.0271,0.2149,-0.0091,0.0281,-0.0247
0.956206,0.5340,0.0271,0.2149,-0.0091,0.0281,-0.0247
0.958790,0.4267,-0.2347,0.4587,-0.0091,0.0281,-0.0247
0.975259,0.4267,-0.2347,0.4587,0.0176,0.0445,-0.0048
1.023030,0.4267,-0.2347,0.4587,0.0176,0.0445,-0.0048
1.029306,0.0611,-0.3166,0.1494,0.0176,0.0445,-0.0048
