time,ax,ay,az,atotal
0.0011181831359863281,0.05,0.16,0.04,0.17
0.011051177978515625,0.07,0.2,-0.01,0.21
0.021972179412841797,0.04,0.19,0.05,0.2
0.031540870666503906,0.02,0.18,0.03,0.18
0.041131019592285156,0.05,0.24,0.02,0.24
0.05096697807312012,0.05,0.26,0.02,0.26
0.061213016510009766,0.05,0.25,0.04,0.25
0.09131407737731934,0.07,0.28,-0.01,0.28
0.09353399276733398,0.04,0.27,-0.04,0.27
0.09543514251708984,0.04,0.22,0.02,0.22
0.10111713409423828,0.03,0.2,0.06,0.21
0.11088418960571289,0.05,0.26,-0.01,0.26
0.12057685852050781,0.03,0.27,-0.02,0.27
0.13106703758239746,0.02,0.23,0.02,0.23
0.1403980255126953,0.04,0.21,0.02,0.21
0.1503310203552246,0.05,0.24,0.02,0.24
0.16085386276245117,0.0,0.22,0.03,0.22
0.18149614334106445,0.0,0.25,0.03,0.25
0.18358898162841797,0.01,0.27,0.07,0.27
0.1901540756225586,0.02,0.26,0.02,0.26
0.20063304901123047,0.02,0.21,0.02,0.21
0.2101421356201172,0.02,0.17,0.04,0.17
0.22027802467346191,0.04,0.15,0.03,0.15
0.2311410903930664,-0.01,0.14,0.01,0.14
0.24043989181518555,-0.06,0.15,0.07,0.17
0.2502269744873047,-0.03,0.15,0.03,0.15
0.2602272033691406,-0.02,0.19,-0.02,0.19
0.28917908668518066,0.01,0.19,0.0,0.19
0.2911970615386963,0.04,0.15,0.01,0.15
0.2932159900665283,0.0,0.1,0.11,0.14
0.3014190196990967,-0.05,0.08,0.07,0.11
0.31025218963623047,-0.05,0.14,0.02,0.15
0.31999707221984863,-0.1,0.26,-0.05,0.28
0.32996201515197754,-0.11,0.32,-0.08,0.34
0.33973002433776855,-0.11,0.28,-0.03,0.3
0.34989118576049805,-0.07,0.25,0.0,0.25
0.35951805114746094,-0.07,0.2,-0.01,0.21
0.38544511795043945,-0.1,0.22,-0.01,0.24
0.3875241279602051,-0.08,0.19,0.02,0.2
0.38962316513061523,-0.11,0.17,0.09,0.22
0.40096092224121094,-0.1,0.18,0.09,0.22
0.4093918800354004,-0.09,0.17,0.05,0.19
0.42012786865234375,-0.1,0.12,0.03,0.15
0.4295668601989746,-0.09,0.05,0.03,0.1
0.4398159980773926,-0.08,0.09,0.04,0.12
0.4493279457092285,-0.08,0.14,0.07,0.17
0.4597799777984619,-0.04,0.16,0.01,0.16
0.48996591567993164,0.08,0.22,0.03,0.23
0.492372989654541,0.06,0.18,0.08,0.2
0.4940361976623535,0.04,0.04,0.15,0.16
0.49980592727661133,0.03,0.0,0.1,0.1
0.5091691017150879,0.08,0.14,-0.02,0.16
0.5189130306243896,0.08,0.23,-0.06,0.25
0.5288939476013184,0.06,0.26,-0.05,0.27
0.5388190746307373,0.06,0.22,-0.08,0.24
0.5486509799957275,0.06,0.17,-0.06,0.19
0.5589809417724609,0.05,0.12,-0.04,0.13
0.5842959880828857,0.05,0.13,-0.05,0.14
0.585921049118042,0.12,0.16,-0.01,0.2
0.5885980129241943,0.16,0.16,0.02,0.22
0.6003551483154297,0.16,0.11,0.06,0.2
0.6091330051422119,0.14,0.08,-0.04,0.16
0.6188910007476807,0.12,0.15,-0.09,0.21
0.6286349296569824,0.09,0.15,-0.01,0.17
0.6386981010437012,0.05,0.11,0.1,0.15
0.6487770080566406,0.05,0.13,0.12,0.18
0.6587100028991699,0.01,0.14,0.04,0.14
0.688107967376709,0.0,0.18,-0.03,0.18
0.6903328895568848,-0.04,0.15,-0.01,0.15
