time,ax,ay,az,wx,wy,wz
11.462741,0.4649,0.3653,-0.9681,0.0494,0.0061,-0.0168
11.465979,0.5217,0.3148,-0.8192,0.0494,0.0061,-0.0168
11.509908,0.5217,0.3148,-0.8192,0.0099,0.0869,0.0107
11.529654,0.5217,0.3148,-0.8192,0.0099,0.0869,0.0107
11.532865,0.4616,0.2623,-0.9303,0.0099,0.0869,0.0107
11.579000,0.4616,0.2623,-0.9303,-0.0325,0.0449,-0.0034
11.598377,0.4616,0.2623,-0.9303,-0.0325,0.0449,-0.0034
11.602468,0.5388,0.4400,-1.1826,-0.0325,0.0449,-0.0034
11.646341,0.5388,0.4400,-1.1826,-0.0494,-0.0107,-0.0090
11.667892,0.5388,0.4400,-1.1826,-0.0494,-0.0107,-0.0090
11.671782,0.4808,0.4449,-1.1422,-0.0494,-0.0107,-0.0090
11.715240,0.4808,0.4449,-1.1422,-0.0190,0.0176,0.0003
11.734785,0.4808,0.4449,-1.1422,-0.0190,0.0176,0.0003
11.738324,0.4302,0.3873,-0.9019,-0.0190,0.0176,0.0003
11.782254,0.4302,0.3873,-0.9019,-0.0010,-0.0232,0.0092
11.802286,0.4302,0.3873,-0.9019,-0.0010,-0.0232,0.0092
11.806011,0.5151,0.3183,-0.9028,-0.0010,-0.0232,0.0092
11.858315,0.5151,0.3183,-0.9028,-0.0487,0.0079,0.0245
11.877867,0.5151,0.3183,-0.9028,-0.0487,0.0079,0.0245
11.881050,0.4181,0.3902,-1.1963,-0.0487,0.0079,0.0245
11.918730,0.4181,0.3902,-1.1963,-0.0202,-0.0288,-0.0294
11.940688,0.4181,0.3902,-1.1963,-0.0202,-0.0288,-0.0294
11.942870,0.6498,0.3784,-0.8730,-0.0202,-0.0288,-0.0294
11.985865,0.6498,0.3784,-0.8730,-0.0822,0.0447,0.0059
12.006537,0.6498,0.3784,-0.8730,-0.0822,0.0447,0.0059
12.009344,0.4134,0.4331,-1.2325,-0.0822,0.0447,0.0059
12.051861,0.4134,0.4331,-1.2325,0.0094,-0.0030,-0.0126
12.072478,0.4134,0.4331,-1.2325,0.0094,-0.0030,-0.0126
12.074687,0.5707,0.3223,-0.7801,0.0094,-0.0030,-0.0126
12.119839,0.5707,0.3223,-0.7801,0.1983,0.0003,-0.0009
12.138461,0.5707,0.3223,-0.7801,0.1983,0.0003,-0.0009
12.142477,0.3991,0.0751,-0.3815,0.1983,0.0003,-0.0009
12.189988,0.3991,0.0751,-0.3815,0.3601,-0.0260,0.0678
12.209293,0.3991,0.0751,-0.3815,0.3601,-0.0260,0.0678
12.212138,0.2947,0.0129,-0.2698,0.3601,-0.0260,0.0678
12.256182,0.2947,0.0129,-0.2698,0.5843,0.0079,0.1378
12.277219,0.2947,0.0129,-0.2698,0.5843,0.0079,0.1378
12.281451,0.1279,0.0176,-0.1537,0.5843,0.0079,0.1378
12.323761,0.1279,0.0176,-0.1537,0.9306,0.0147,0.1614
12.344261,0.1279,0.0176,-0.1537,0.9306,0.0147,0.1614
12.348734,0.3527,-0.2167,0.5462,0.9306,0.0147,0.1614
12.392126,0.3527,-0.2167,0.5462,1.3397,0.0634,0.2670
12.412075,0.3527,-0.2167,0.5462,1.3397,0.0634,0.2670
12.415213,0.0654,-0.5821,0.8184,1.3397,0.0634,0.2670
12.461265,0.0654,-0.5821,0.8184,1.5265,0.1761,0.2410
12.479927,0.0654,-0.5821,0.8184,1.5265,0.1761,0.2410
12.482768,0.5606,-0.7197,1.0782,1.5265,0.1761,0.2410
12.537362,0.5606,-0.7197,1.0782,1.5835,0.0408,0.1992
12.557529,0.5606,-0.7197,1.0782,1.5835,0.0408,0.1992
12.560663,0.4371,-0.5518,0.2804,1.5835,0.0408,0.1992
12.605109,0.4371,-0.5518,0.2804,1.8769,0.0091,0.1975
12.624456,0.4371,-0.5518,0.2804,1.8769,0.0091,0.1975
12.628917,0.5070,-0.5519,1.0754,1.8769,0.0091,0.1975
12.672702,0.5070,-0.5519,1.0754,2.4052,-0.1045,0.1882
12.692081,0.5070,-0.5519,1.0754,2.4052,-0.1045,0.1882
12.697381,0.5341,-0.6412,1.8053,2.4052,-0.1045,0.1882
12.740286,0.5341,-0.6412,1.8053,2.6093,0.1920,0.1603
12.760355,0.5341,-0.6412,1.8053,2.6093,0.1920,0.1603
12.764492,0.3498,-0.8247,2.1947,2.6093,0.1920,0.1603
12.808358,0.3498,-0.8247,2.1947,2.1200,0.2145,0.1443
12.830403,0.3498,-0.8247,2.1947,2.1200,0.2145,0.1443
12.833074,0.3903,-0.5700,0.2131,2.1200,0.2145,0.1443
12.875313,0.3903,-0.5700,0.2131,1.6410,0.2068,0.1485
12.896191,0.3903,-0.5700,0.2131,1.6410,0.2068,0.1485
12.909254,0.2978,-0.0514,-0.7253,1.6410,0.2068,0.1485
12.943772,0.2978,-0.0514,-0.7253,1.2931,0.1412,0.1268
12.963004,0.2978,-0.0514,-0.7253,1.2931,0.1412,0.1268
12.972874,0.2983,0.1198,-0.6229,1.2931,0.1412,0.1268
13.012104,0.2983,0.1198,-0.6229,1.1716,-0.0054,0.1364
13.030547,0.2983,0.1198,-0.6229,1.1716,-0.0054,0.1364
13.036969,0.3116,0.2493,-0.5026,1.1716,-0.0054,0.1364
13.079060,0.3116,0.2493,-0.5026,1.3048,0.0424,0.1547
13.099628,0.3116,0.2493,-0.5026,1.3048,0.0424,0.1547
13.105463,0.2491,0.0777,0.4565,1.3048,0.0424,0.1547
13.145842,0.2491,0.0777,0.4565,1.5303,-0.0803,0.1828
13.164709,0.2491,0.0777,0.4565,1.5303,-0.0803,0.1828
13.176297,0.0055,0.1893,0.8020,1.5303,-0.0803,0.1828
13.214406,0.0055,0.1893,0.8020,1.6979,-0.1402,0.0790
13.234102,0.0055,0.1893,0.8020,1.6979,-0.1402,0.0790
13.239402,0.4147,0.3546,0.8922,1.6979,-0.1402,0.0790
13.283386,0.4147,0.3546,0.8922,1.7041,-0.2197,0.0795
13.313636,0.4147,0.3546,0.8922,1.7041,-0.2197,0.0795
13.317116,0.1855,0.5232,0.4574,1.7041,-0.2197,0.0795
13.360676,0.1855,0.5232,0.4574,1.7916,-0.2515,-0.0250
13.369347,0.1855,0.5232,0.4574,1.7916,-0.2515,-0.0250
13.374082,0.2021,0.4317,0.4190,1.7916,-0.2515,-0.0250
13.419929,0.2021,0.4317,0.4190,1.9036,-0.3574,-0.1367
13.441694,0.2021,0.4317,0.4190,1.9036,-0.3574,-0.1367
13.443299,0.5157,0.3537,0.3916,1.9036,-0.3574,-0.1367
13.495260,0.5157,0.3537,0.3916,1.7509,-0.1456,-0.1987
13.515852,0.5157,0.3537,0.3916,1.7509,-0.1456,-0.1987
13.525199,0.4039,0.3163,-0.5138,1.7509,-0.1456,-0.1987
13.564734,0.4039,0.3163,-0.5138,1.4657,-0.1379,-0.1921
13.583878,0.4039,0.3163,-0.5138,1.4657,-0.1379,-0.1921
13.588827,0.2039,0.3090,-0.8596,1.4657,-0.1379,-0.1921
13.633077,0.2039,0.3090,-0.8596,1.2214,-0.0471,-0.1400
13.651442,0.2039,0.3090,-0.8596,1.2214,-0.0471,-0.1400
13.658319,-0.0512,0.2791,-1.0233,1.2214,-0.0471,-0.1400
13.700539,-0.0512,0.2791,-1.0233,0.8207,-0.0356,-0.0172
13.723557,-0.0512,0.2791,-1.0233,0.8207,-0.0356,-0.0172
13.725491,-0.1956,0.3720,-1.1458,0.8207,-0.0356,-0.0172
13.767341,-0.1956,0.3720,-1.1458,0.7578,-0.0428,-0.0463
13.787668,-0.1956,0.3720,-1.1458,0.7578,-0.0428,-0.0463
13.793071,0.1360,0.1289,-0.5767,0.7578,-0.0428,-0.0463
13.835377,0.1360,0.1289,-0.5767,0.5400,-0.0468,-0.0807
13.854414,0.1360,0.1289,-0.5767,0.5400,-0.0468,-0.0807
13.858030,0.2123,0.1239,-0.5971,0.5400,-0.0468,-0.0807
13.903637,0.2123,0.1239,-0.5971,0.3506,-0.0850,-0.1179
13.924961,0.2123,0.1239,-0.5971,0.3506,-0.0850,-0.1179
13.929323,0.2633,0.0574,-0.5205,0.3506,-0.0850,-0.1179
13.970286,0.2633,0.0574,-0.5205,0.0527,0.0192,0.0013
13.993284,0.2633,0.0574,-0.5205,0.0527,0.0192,0.0013
13.995674,-0.2202,0.0069,-0.7827,0.0527,0.0192,0.0013
14.040501,-0.2202,0.0069,-0.7827,0.0340,-0.0443,0.0123
14.059288,-0.2202,0.0069,-0.7827,0.0340,-0.0443,0.0123
14.063318,-0.0278,-0.1318,-0.0854,0.0340,-0.0443,0.0123
14.105582,-0.0278,-0.1318,-0.0854,-0.0496,-0.0183,0.0057
14.125892,-0.0278,-0.1318,-0.0854,-0.0496,-0.0183,0.0057
14.129698,0.1822,0.0387,-0.3603,-0.0496,-0.0183,0.0057
14.174855,0.1822,0.0387,-0.3603,0.0176,-0.0583,-0.0406
14.193311,0.1822,0.0387,-0.3603,0.0176,-0.0583,-0.0406
14.198575,0.1838,-0.0617,0.3679,0.0176,-0.0583,-0.0406
14.243221,0.1838,-0.0617,0.3679,-0.0215,-0.0253,-0.0172
14.261779,0.1838,-0.0617,0.3679,-0.0215,-0.0253,-0.0172
14.266799,0.0501,0.0872,-0.1066,-0.0215,-0.0253,-0.0172
14.320454,0.0501,0.0872,-0.1066,-0.1019,0.0171,-0.0074
14.338386,0.0501,0.0872,-0.1066,-0.1019,0.0171,-0.0074
14.343986,-0.0140,0.0545,0.0052,-0.1019,0.0171,-0.0074
14.376278,-0.0140,0.0545,0.0052,-0.0312,0.0042,0.0554
14.409601,-0.0140,0.0545,0.0052,-0.0312,0.0042,0.0554
14.411396,-0.2005,-0.1244,0.1346,-0.0312,0.0042,0.0554
14.454091,-0.2005,-0.1244,0.1346,-0.0272,-0.0000,-0.0139
14.466275,-0.2005,-0.1244,0.1346,-0.0272,-0.0000,-0.0139
