time,ax,ay,az,wx,wy,wz
14.466275,-0.2005,-0.1244,0.1346,-0.0272,-0.0000,-0.0139
14.471075,0.2721,0.0105,0.0613,-0.0272,-0.0000,-0.0139
14.521823,0.2721,0.0105,0.0613,-0.0075,-0.0093,-0.0067
14.541926,0.2721,0.0105,0.0613,-0.0075,-0.0093,-0.0067
14.547247,0.0472,-0.0539,0.1428,-0.0075,-0.0093,-0.0067
14.589085,0.0472,-0.0539,0.1428,-0.0253,0.0021,-0.0097
14.609905,0.0472,-0.0539,0.1428,-0.0253,0.0021,-0.0097
14.614718,0.0471,0.0585,0.0543,-0.0253,0.0021,-0.0097
14.658953,0.0471,0.0585,0.0543,0.0045,0.0257,-0.0214
14.679088,0.0471,0.0585,0.0543,0.0045,0.0257,-0.0214
14.684232,0.0080,0.0084,0.1851,0.0045,0.0257,-0.0214
14.726971,0.0080,0.0084,0.1851,-0.0215,0.0127,-0.0359
14.744336,0.0080,0.0084,0.1851,-0.0215,0.0127,-0.0359
14.750695,0.0430,-0.0125,-0.0355,-0.0215,0.0127,-0.0359
14.795749,0.0430,-0.0125,-0.0355,-0.0094,0.0007,-0.0308
14.814551,0.0430,-0.0125,-0.0355,-0.0094,0.0007,-0.0308
14.817996,0.0063,-0.0160,0.1187,-0.0094,0.0007,-0.0308
14.861818,0.0063,-0.0160,0.1187,-0.1662,-0.0553,-0.0790
14.881005,0.0063,-0.0160,0.1187,-0.1662,-0.0553,-0.0790
14.885188,0.0861,0.0330,-0.2507,-0.1662,-0.0553,-0.0790
14.929919,0.0861,0.0330,-0.2507,-0.3154,-0.0728,0.0272
14.950458,0.0861,0.0330,-0.2507,-0.3154,-0.0728,0.0272
14.956757,-0.1412,-0.1455,-0.3250,-0.3154,-0.0728,0.0272
14.998441,-0.1412,-0.1455,-0.3250,-0.7451,-0.0164,0.0994
15.015771,-0.1412,-0.1455,-0.3250,-0.7451,-0.0164,0.0994
15.023042,-0.1921,-0.2887,-0.5857,-0.7451,-0.0164,0.0994
15.065824,-0.1921,-0.2887,-0.5857,-0.8618,-0.0045,0.2155
15.086205,-0.1921,-0.2887,-0.5857,-0.8618,-0.0045,0.2155
15.088897,-0.2234,-0.7120,-0.6055,-0.8618,-0.0045,0.2155
15.132036,-0.2234,-0.7120,-0.6055,-1.0811,0.1466,0.2319
15.150768,-0.2234,-0.7120,-0.6055,-1.0811,0.1466,0.2319
15.155763,0.0878,-0.7837,-0.0299,-1.0811,0.1466,0.2319
15.201904,0.0878,-0.7837,-0.0299,-0.7351,-0.0175,0.1947
15.224172,0.0878,-0.7837,-0.0299,-0.7351,-0.0175,0.1947
15.226175,0.0754,-1.0011,0.7970,-0.7351,-0.0175,0.1947
15.267928,0.0754,-1.0011,0.7970,-1.2230,0.1670,0.1530
15.289787,0.0754,-1.0011,0.7970,-1.2230,0.1670,0.1530
15.292176,0.2156,-0.5121,-0.4764,-1.2230,0.1670,0.1530
15.337503,0.2156,-0.5121,-0.4764,-1.0612,0.1438,0.1668
15.360024,0.2156,-0.5121,-0.4764,-1.0612,0.1438,0.1668
15.362285,-0.0250,-1.3788,0.1288,-1.0612,0.1438,0.1668
15.404009,-0.0250,-1.3788,0.1288,-1.5923,0.2934,0.1446
15.423777,-0.0250,-1.3788,0.1288,-1.5923,0.2934,0.1446
15.428159,0.1576,-0.8364,-0.9748,-1.5923,0.2934,0.1446
15.471872,0.1576,-0.8364,-0.9748,-1.3982,0.1454,0.0858
15.491006,0.1576,-0.8364,-0.9748,-1.3982,0.1454,0.0858
15.495749,-0.0795,-1.9205,0.1872,-1.3982,0.1454,0.0858
15.540110,-0.0795,-1.9205,0.1872,-1.4478,0.1941,0.0905
15.559093,-0.0795,-1.9205,0.1872,-1.4478,0.1941,0.0905
15.562980,-0.0933,-1.1837,-0.4274,-1.4478,0.1941,0.0905
15.617546,-0.0933,-1.1837,-0.4274,-1.4144,0.0756,-0.0107
15.637411,-0.0933,-1.1837,-0.4274,-1.4144,0.0756,-0.0107
15.642565,0.0695,-1.4418,0.0079,-1.4144,0.0756,-0.0107
15.686709,0.0695,-1.4418,0.0079,-1.5303,0.0120,-0.0592
15.706555,0.0695,-1.4418,0.0079,-1.5303,0.0120,-0.0592
15.709730,0.1394,-1.3713,-0.3892,-1.5303,0.0120,-0.0592
15.751461,0.1394,-1.3713,-0.3892,-1.6581,-0.0597,-0.0818
15.772303,0.1394,-1.3713,-0.3892,-1.6581,-0.0597,-0.0818
15.776309,0.1427,-1.3067,-0.9107,-1.6581,-0.0597,-0.0818
15.820728,0.1427,-1.3067,-0.9107,-1.6645,-0.1012,-0.1432
15.838963,0.1427,-1.3067,-0.9107,-1.6645,-0.1012,-0.1432
15.842904,0.2381,-1.4427,-0.4487,-1.6645,-0.1012,-0.1432
15.886949,0.2381,-1.4427,-0.4487,-1.7120,-0.1255,-0.0681
15.907628,0.2381,-1.4427,-0.4487,-1.7120,-0.1255,-0.0681
15.911551,-0.0175,-1.4549,-0.9215,-1.7120,-0.1255,-0.0681
15.955417,-0.0175,-1.4549,-0.9215,-1.8066,-0.0869,-0.0125
15.975223,-0.0175,-1.4549,-0.9215,-1.8066,-0.0869,-0.0125
15.979424,-0.0603,-1.3767,-1.0317,-1.8066,-0.0869,-0.0125
16.023923,-0.0603,-1.3767,-1.0317,-1.8200,-0.1740,-0.0441
16.042751,-0.0603,-1.3767,-1.0317,-1.8200,-0.1740,-0.0441
16.050336,0.0597,-1.5036,-0.8268,-1.8200,-0.1740,-0.0441
16.092374,0.0597,-1.5036,-0.8268,-1.9715,-0.0328,-0.0509
16.110146,0.0597,-1.5036,-0.8268,-1.9715,-0.0328,-0.0509
16.115810,0.3444,-1.4820,-1.4418,-1.9715,-0.0328,-0.0509
16.160672,0.3444,-1.4820,-1.4418,-1.9363,-0.1065,-0.0832
16.178468,0.3444,-1.4820,-1.4418,-1.9363,-0.1065,-0.0832
16.182726,0.2301,-1.3998,-1.2026,-1.9363,-0.1065,-0.0832
16.226778,0.2301,-1.3998,-1.2026,-1.9855,-0.1370,-0.1118
16.247351,0.2301,-1.3998,-1.2026,-1.9855,-0.1370,-0.1118
16.250103,0.1518,-1.1335,-1.4808,-1.9855,-0.1370,-0.1118
16.294619,0.1518,-1.1335,-1.4808,-1.6399,-0.2098,-0.1324
16.316635,0.1518,-1.1335,-1.4808,-1.6399,-0.2098,-0.1324
16.319329,0.1670,-0.9513,-0.6925,-1.6399,-0.2098,-0.1324
16.361974,0.1670,-0.9513,-0.6925,-1.4731,-0.0374,-0.1123
