time,ax,ay,az,atotal
0.0068318843841552734,-0.01,0.28,-0.12,0.3
0.017668962478637695,0.01,0.29,-0.14,0.32
0.027764081954956055,-0.01,0.27,-0.09,0.28
0.03724193572998047,-0.03,0.24,-0.11,0.26
0.059654951095581055,0.0,0.26,-0.14,0.29
0.0629880428314209,-0.01,0.26,-0.07,0.26
0.06667304039001465,-0.01,0.22,0.07,0.23
0.07685303688049316,0.02,0.19,0.09,0.21
0.0861208438873291,0.05,0.21,0.04,0.21
0.09628701210021973,0.1,0.22,0.02,0.24
0.1062159538269043,0.14,0.16,0.05,0.21
0.11607694625854492,0.15,0.16,0.12,0.25
0.12656593322753906,0.13,0.15,0.1,0.22
0.13623881340026855,0.1,0.15,0.04,0.18
0.1512749195098877,0.05,0.17,0.01,0.17
0.1557481288909912,0.02,0.16,0.05,0.16
0.165877103805542,0.02,0.17,0.06,0.18
0.17576098442077637,0.09,0.22,0.04,0.24
0.18585515022277832,0.14,0.2,0.04,0.24
0.1956930160522461,0.14,0.19,0.07,0.24
0.20588088035583496,0.09,0.19,0.09,0.22
0.2157738208770752,0.05,0.15,0.04,0.16
0.22569799423217773,0.01,0.17,0.01,0.17
0.2357618808746338,-0.06,0.21,0.0,0.21
0.2535088062286377,-0.12,0.22,-0.02,0.25
0.2555990219116211,-0.14,0.2,0.0,0.24
0.26564598083496094,-0.13,0.2,0.01,0.23
0.2762110233306885,-0.08,0.21,-0.01,0.22
0.2854909896850586,-0.05,0.21,0.03,0.21
0.2958049774169922,-0.09,0.14,0.09,0.18
0.3056061267852783,-0.08,0.15,0.05,0.17
0.3155090808868408,-0.07,0.22,-0.02,0.23
0.32547593116760254,-0.13,0.19,0.01,0.23
0.3359711170196533,-0.15,0.13,0.06,0.2
0.35740113258361816,-0.15,0.15,0.04,0.21
0.359935998916626,-0.11,0.16,-0.01,0.19
0.365231990814209,-0.07,0.14,-0.02,0.15
0.3749268054962158,-0.1,0.13,0.0,0.16
0.38544392585754395,-0.1,0.14,0.03,0.17
0.39519381523132324,-0.03,0.16,-0.01,0.16
0.4051549434661865,0.0,0.15,-0.01,0.15
0.41538500785827637,0.01,0.11,0.02,0.11
0.42552685737609863,-0.01,0.07,0.05,0.08
0.43489909172058105,-0.01,0.09,0.04,0.09
0.4530329704284668,0.03,0.14,-0.03,0.14
0.45502686500549316,0.02,0.13,-0.03,0.13
0.46507906913757324,0.0,0.09,0.07,0.11
0.4748528003692627,-0.03,0.06,0.18,0.19
0.48516392707824707,0.02,0.07,0.15,0.16
0.49515509605407715,0.09,0.08,0.1,0.15
0.5044400691986084,0.09,0.1,0.08,0.15
0.5151970386505127,0.1,0.11,0.06,0.16
0.5249121189117432,0.05,0.09,0.13,0.16
0.5354900360107422,-0.02,0.08,0.14,0.16
0.5566840171813965,-0.02,0.1,0.09,0.13
0.5586631298065186,-0.01,0.14,0.03,0.14
0.5647051334381104,0.0,0.19,0.03,0.19
0.5747909545898438,-0.02,0.2,-0.02,0.2
0.5843169689178467,-0.06,0.19,-0.07,0.21
0.5944521427154541,-0.11,0.17,-0.07,0.21
0.6043109893798828,-0.12,0.2,-0.09,0.25
0.6142699718475342,-0.06,0.23,-0.08,0.25
0.6244399547576904,-0.01,0.26,-0.06,0.26
0.6343309879302979,0.03,0.2,-0.03,0.2
0.6560051441192627,0.02,0.16,-0.01,0.16
0.6583080291748047,0.02,0.2,-0.05,0.2
0.6638410091400146,0.04,0.2,-0.05,0.21
