time,ax,ay,az,wx,wy,wz
7.794173,0.1989,-0.1508,0.0741,0.0412,-0.0604,0.0094
7.799461,0.1395,-0.2485,0.0451,0.0412,-0.0604,0.0094
7.814497,0.1395,-0.2485,0.0451,0.0525,-0.1005,0.0142
7.861507,0.1395,-0.2485,0.0451,0.0525,-0.1005,0.0142
7.864413,0.2000,-0.1678,0.1454,0.0525,-0.1005,0.0142
7.881121,0.2000,-0.1678,0.1454,0.0248,-0.0154,0.0134
7.928887,0.2000,-0.1678,0.1454,0.0248,-0.0154,0.0134
7.934187,0.2257,-0.1075,0.0870,0.0248,-0.0154,0.0134
7.948451,0.2257,-0.1075,0.0870,0.0220,-0.0028,-0.0008
7.998793,0.2257,-0.1075,0.0870,0.0220,-0.0028,-0.0008
8.003291,0.2929,-0.1079,0.1649,0.0220,-0.0028,-0.0008
8.016213,0.2929,-0.1079,0.1649,0.0396,-0.0115,-0.0086
8.064999,0.2929,-0.1079,0.1649,0.0396,-0.0115,-0.0086
8.069805,0.2318,-0.1803,0.0979,0.0396,-0.0115,-0.0086
8.085340,0.2318,-0.1803,0.0979,0.0122,0.0049,0.0109
8.131277,0.2318,-0.1803,0.0979,0.0122,0.0049,0.0109
8.135190,0.1547,-0.1735,-0.0263,0.0122,0.0049,0.0109
8.151544,0.1547,-0.1735,-0.0263,-0.0230,0.0141,-0.0112
8.200017,0.1547,-0.1735,-0.0263,-0.0230,0.0141,-0.0112
8.203171,0.2609,-0.1355,0.0032,-0.0230,0.0141,-0.0112
8.219059,0.2609,-0.1355,0.0032,-0.0272,0.0260,-0.0119
8.268360,0.2609,-0.1355,0.0032,-0.0272,0.0260,-0.0119
8.271798,0.2610,-0.1212,0.1274,-0.0272,0.0260,-0.0119
8.287220,0.2610,-0.1212,0.1274,0.0154,-0.0045,-0.0097
8.336440,0.2610,-0.1212,0.1274,0.0154,-0.0045,-0.0097
8.339872,0.2244,-0.1383,0.1877,0.0154,-0.0045,-0.0097
8.355133,0.2244,-0.1383,0.1877,0.0047,-0.0761,-0.0112
8.403330,0.2244,-0.1383,0.1877,0.0047,-0.0761,-0.0112
8.407087,0.1719,-0.1610,-0.0603,0.0047,-0.0761,-0.0112
8.422128,0.1719,-0.1610,-0.0603,0.0127,-0.3341,-0.0308
8.481121,0.1719,-0.1610,-0.0603,0.0127,-0.3341,-0.0308
8.485555,0.0821,-0.2109,-0.1789,0.0127,-0.3341,-0.0308
8.500497,0.0821,-0.2109,-0.1789,-0.1377,-0.5346,-0.0062
8.548141,0.0821,-0.2109,-0.1789,-0.1377,-0.5346,-0.0062
8.552239,-0.0918,-0.1629,-0.8286,-0.1377,-0.5346,-0.0062
8.568217,-0.0918,-0.1629,-0.8286,-0.0997,-1.1748,0.0310
8.608599,-0.0918,-0.1629,-0.8286,-0.0997,-1.1748,0.0310
8.612718,-0.3760,-0.3078,-0.3183,-0.0997,-1.1748,0.0310
8.636147,-0.3760,-0.3078,-0.3183,0.0361,-1.7279,0.1034
8.690308,-0.3760,-0.3078,-0.3183,0.0361,-1.7279,0.1034
8.692090,-0.3263,-0.2384,-0.0061,0.0361,-1.7279,0.1034
8.704408,-0.3263,-0.2384,-0.0061,-0.2285,-1.0798,0.2038
8.752470,-0.3263,-0.2384,-0.0061,-0.2285,-1.0798,0.2038
8.754774,0.1388,-0.1040,-0.4115,-0.2285,-1.0798,0.2038
8.771138,0.1388,-0.1040,-0.4115,-0.2332,-1.1161,0.1434
8.820002,0.1388,-0.1040,-0.4115,-0.2332,-1.1161,0.1434
8.823410,0.2765,-0.0929,0.0203,-0.2332,-1.1161,0.1434
8.839481,0.2765,-0.0929,0.0203,-0.2070,-1.6310,0.1245
8.887279,0.2765,-0.0929,0.0203,-0.2070,-1.6310,0.1245
8.893852,-0.1442,-0.0400,-0.3497,-0.2070,-1.6310,0.1245
8.908089,-0.1442,-0.0400,-0.3497,-0.2637,-2.0115,0.0279
8.955301,-0.1442,-0.0400,-0.3497,-0.2637,-2.0115,0.0279
8.959072,0.2119,-0.1502,-0.0382,-0.2637,-2.0115,0.0279
8.974122,0.2119,-0.1502,-0.0382,-0.2269,-1.6570,0.0713
9.023447,0.2119,-0.1502,-0.0382,-0.2269,-1.6570,0.0713
9.028660,0.4204,-0.2349,0.1211,-0.2269,-1.6570,0.0713
9.044612,0.4204,-0.2349,0.1211,-0.1986,-1.4999,-0.0301
9.091101,0.4204,-0.2349,0.1211,-0.1986,-1.4999,-0.0301
9.094703,0.7147,-0.1021,0.1680,-0.1986,-1.4999,-0.0301
9.111638,0.7147,-0.1021,0.1680,-0.1672,-1.6287,-0.2153
9.158603,0.7147,-0.1021,0.1680,-0.1672,-1.6287,-0.2153
9.162322,0.5682,-0.0891,-0.0628,-0.1672,-1.6287,-0.2153
9.181275,0.5682,-0.0891,-0.0628,0.1250,-2.4068,-0.5879
9.228250,0.5682,-0.0891,-0.0628,0.1250,-2.4068,-0.5879
9.231927,0.9889,-0.1822,0.6850,0.1250,-2.4068,-0.5879
9.246089,0.9889,-0.1822,0.6850,-0.1154,-1.5259,-0.1797
9.295002,0.9889,-0.1822,0.6850,-0.1154,-1.5259,-0.1797
9.298411,0.1621,-0.1634,-0.2987,-0.1154,-1.5259,-0.1797
9.313994,0.1621,-0.1634,-0.2987,-0.0367,-1.7829,-0.4368
9.364243,0.1621,-0.1634,-0.2987,-0.0367,-1.7829,-0.4368
9.367879,0.9808,-0.1279,0.2746,-0.0367,-1.7829,-0.4368
9.383045,0.9808,-0.1279,0.2746,-0.0340,-1.3200,-0.2355
9.441414,0.9808,-0.1279,0.2746,-0.0340,-1.3200,-0.2355
9.444777,0.2127,-0.2319,0.0541,-0.0340,-1.3200,-0.2355
9.462399,0.2127,-0.2319,0.0541,0.0373,-1.1526,-0.1980
9.498538,0.2127,-0.2319,0.0541,0.0373,-1.1526,-0.1980
9.503855,0.4131,-0.1739,0.1480,0.0373,-1.1526,-0.1980
9.517245,0.4131,-0.1739,0.1480,-0.0297,-1.1456,-0.2060
9.568725,0.4131,-0.1739,0.1480,-0.0297,-1.1456,-0.2060
9.572828,0.2565,-0.1223,-0.3833,-0.0297,-1.1456,-0.2060
9.595684,0.2565,-0.1223,-0.3833,-0.0614,-1.5195,-0.4317
9.642712,0.2565,-0.1223,-0.3833,-0.0614,-1.5195,-0.4317
9.646806,0.8746,-0.0119,-0.2958,-0.0614,-1.5195,-0.4317
9.662796,0.8746,-0.0119,-0.2958,0.0164,-1.6280,-0.4970
9.711380,0.8746,-0.0119,-0.2958,0.0164,-1.6280,-0.4970
9.715597,0.4279,-0.1939,0.1572,0.0164,-1.6280,-0.4970
9.730690,0.4279,-0.1939,0.1572,0.0176,-1.3093,-0.3931
9.780079,0.4279,-0.1939,0.1572,0.0176,-1.3093,-0.3931
9.784608,0.5486,-0.1338,-0.0514,0.0176,-1.3093,-0.3931
9.801754,0.5486,-0.1338,-0.0514,-0.0635,-1.6815,-0.4582
9.848179,0.5486,-0.1338,-0.0514,-0.0635,-1.6815,-0.4582
9.851629,0.3237,-0.1208,-0.5988,-0.0635,-1.6815,-0.4582
9.866014,0.3237,-0.1208,-0.5988,-0.0660,-2.4070,-0.4235
9.916340,0.3237,-0.1208,-0.5988,-0.0660,-2.4070,-0.4235
9.920095,0.0816,-0.1814,-0.5605,-0.0660,-2.4070,-0.4235
9.935871,0.0816,-0.1814,-0.5605,-0.0442,-2.3143,-0.2313
9.982672,0.0816,-0.1814,-0.5605,-0.0442,-2.3143,-0.2313
9.988422,0.0379,-0.2473,-0.2934,-0.0442,-2.3143,-0.2313
10.002732,0.0379,-0.2473,-0.2934,-0.2454,-1.4286,-0.0439
10.050512,0.0379,-0.2473,-0.2934,-0.2454,-1.4286,-0.0439
10.055227,0.3774,-0.1747,-0.1655,-0.2454,-1.4286,-0.0439
10.070193,0.3774,-0.1747,-0.1655,-0.0391,-0.7816,-0.0187
10.121047,0.3774,-0.1747,-0.1655,-0.0391,-0.7816,-0.0187
10.124345,0.3892,-0.2226,0.4775,-0.0391,-0.7816,-0.0187
10.138933,0.3892,-0.2226,0.4775,0.0850,-0.2431,0.0870
10.187770,0.3892,-0.2226,0.4775,0.0850,-0.2431,0.0870
10.191085,0.1600,-0.2375,0.3993,0.0850,-0.2431,0.0870
10.205495,0.1600,-0.2375,0.3993,0.0300,0.0188,0.0298
10.254430,0.1600,-0.2375,0.3993,0.0300,0.0188,0.0298
10.258655,0.3360,-0.0919,-0.0517,0.0300,0.0188,0.0298
10.273640,0.3360,-0.0919,-0.0517,0.0639,-0.0372,-0.0207
10.322128,0.3360,-0.0919,-0.0517,0.0639,-0.0372,-0.0207
10.325755,-0.0705,-0.2473,-0.0666,0.0639,-0.0372,-0.0207
10.341737,-0.0705,-0.2473,-0.0666,0.0284,0.0442,0.0153
10.391782,-0.0705,-0.2473,-0.0666,0.0284,0.0442,0.0153
10.394156,0.1380,-0.0678,-0.0760,0.0284,0.0442,0.0153
10.418620,0.1380,-0.0678,-0.0760,-0.0038,-0.0271,-0.0243
10.458582,0.1380,-0.0678,-0.0760,-0.0038,-0.0271,-0.0243
10.460412,0.0099,-0.1577,-0.3225,-0.0038,-0.0271,-0.0243
10.479928,0.0099,-0.1577,-0.3225,0.0126,-0.0267,-0.0339
10.535435,0.0099,-0.1577,-0.3225,0.0126,-0.0267,-0.0339
10.537567,0.0488,-0.1181,-0.0491,0.0126,-0.0267,-0.0339
10.554464,0.0488,-0.1181,-0.0491,0.0173,-0.0084,0.0074
10.602100,0.0488,-0.1181,-0.0491,0.0173,-0.0084,0.0074
10.606300,-0.1196,-0.1828,-0.0896,0.0173,-0.0084,0.0074
10.621554,-0.1196,-0.1828,-0.0896,0.0342,0.0009,-0.0091
10.670164,-0.1196,-0.1828,-0.0896,0.0342,0.0009,-0.0091
10.673878,0.0894,-0.1438,-0.0233,0.0342,0.0009,-0.0091
10.690472,0.0894,-0.1438,-0.0233,0.0157,0.0007,-0.0264
10.739539,0.0894,-0.1438,-0.0233,0.0157,0.0007,-0.0264
10.742234,0.1448,-0.1448,-0.2550,0.0157,0.0007,-0.0264
10.758477,0.1448,-0.1448,-0.2550,0.0279,-0.0271,-0.0372
10.805917,0.1448,-0.1448,-0.2550,0.0279,-0.0271,-0.0372
10.810451,0.0711,-0.1617,-0.0206,0.0279,-0.0271,-0.0372
10.825364,0.0711,-0.1617,-0.0206,0.0026,-0.0281,-0.0205
10.875201,0.0711,-0.1617,-0.0206,0.0026,-0.0281,-0.0205
10.878696,-0.0212,-0.1398,-0.2464,0.0026,-0.0281,-0.0205
