time,ax,ay,az,wx,wy,wz
82.440742,0.1712,-0.1315,-0.0202,-0.0155,0.0166,0.0081
82.442905,0.2499,-0.1395,-0.0949,-0.0155,0.0166,0.0081
82.448403,0.2499,-0.1395,-0.0949,-0.0066,-0.0063,-0.0276
82.496992,0.2499,-0.1395,-0.0949,-0.0066,-0.0063,-0.0276
82.500259,0.2614,-0.1552,-0.0541,-0.0066,-0.0063,-0.0276
82.515577,0.2614,-0.1552,-0.0541,-0.0527,-0.0047,-0.0147
82.566436,0.2614,-0.1552,-0.0541,-0.0527,-0.0047,-0.0147
82.568884,0.1446,-0.1229,-0.2482,-0.0527,-0.0047,-0.0147
82.583964,0.1446,-0.1229,-0.2482,-0.0752,0.0052,-0.0229
82.642325,0.1446,-0.1229,-0.2482,-0.0752,0.0052,-0.0229
82.645796,0.2529,-0.1400,-0.0011,-0.0752,0.0052,-0.0229
82.662646,0.2529,-0.1400,-0.0011,-0.0096,0.0094,0.0008
82.701005,0.2529,-0.1400,-0.0011,-0.0096,0.0094,0.0008
82.704026,0.1311,-0.2343,-0.0070,-0.0096,0.0094,0.0008
82.721210,0.1311,-0.2343,-0.0070,-0.0365,0.0122,-0.0111
82.769897,0.1311,-0.2343,-0.0070,-0.0365,0.0122,-0.0111
82.773154,0.2084,-0.1467,-0.0981,-0.0365,0.0122,-0.0111
82.796174,0.2084,-0.1467,-0.0981,-0.0222,0.0316,-0.0027
82.836352,0.2084,-0.1467,-0.0981,-0.0222,0.0316,-0.0027
82.839213,0.2091,-0.1361,-0.0504,-0.0222,0.0316,-0.0027
82.864813,0.2091,-0.1361,-0.0504,-0.0002,0.0141,-0.0153
82.904773,0.2091,-0.1361,-0.0504,-0.0002,0.0141,-0.0153
82.909277,0.2119,-0.1645,-0.0181,-0.0002,0.0141,-0.0153
82.924361,0.2119,-0.1645,-0.0181,0.0077,0.0239,-0.0032
82.983245,0.2119,-0.1645,-0.0181,0.0077,0.0239,-0.0032
82.986731,0.2031,-0.1681,-0.0948,0.0077,0.0239,-0.0032
83.001692,0.2031,-0.1681,-0.0948,0.0044,0.0220,-0.0036
83.039881,0.2031,-0.1681,-0.0948,0.0044,0.0220,-0.0036
83.042832,0.1552,-0.1460,-0.0264,0.0044,0.0220,-0.0036
83.068600,0.1552,-0.1460,-0.0264,-0.0030,0.0274,-0.0039
83.116873,0.1552,-0.1460,-0.0264,-0.0030,0.0274,-0.0039
83.119930,0.1985,-0.1365,-0.1235,-0.0030,0.0274,-0.0039
83.135202,0.1985,-0.1365,-0.1235,0.0244,0.0108,-0.0015
83.185984,0.1985,-0.1365,-0.1235,0.0244,0.0108,-0.0015
83.189512,0.2140,-0.1636,0.0634,0.0244,0.0108,-0.0015
83.205079,0.2140,-0.1636,0.0634,0.0052,0.0227,-0.0090
83.251837,0.2140,-0.1636,0.0634,0.0052,0.0227,-0.0090
83.257638,0.2234,-0.1463,-0.1135,0.0052,0.0227,-0.0090
83.271007,0.2234,-0.1463,-0.1135,0.0431,0.1281,0.0031
83.321276,0.2234,-0.1463,-0.1135,0.0431,0.1281,0.0031
83.326360,0.2662,-0.1934,0.0994,0.0431,0.1281,0.0031
83.339868,0.2662,-0.1934,0.0994,0.0820,0.4536,-0.0879
83.389476,0.2662,-0.1934,0.0994,0.0820,0.4536,-0.0879
83.395075,0.7763,-0.1172,0.5008,0.0820,0.4536,-0.0879
83.412818,0.7763,-0.1172,0.5008,0.3245,0.9969,0.0912
83.455462,0.7763,-0.1172,0.5008,0.3245,0.9969,0.0912
83.460440,0.2169,-0.4769,0.7176,0.3245,0.9969,0.0912
83.474906,0.2169,-0.4769,0.7176,0.2932,1.6122,-0.1378
83.522954,0.2169,-0.4769,0.7176,0.2932,1.6122,-0.1378
83.527040,1.1642,0.0376,0.3769,0.2932,1.6122,-0.1378
83.543241,1.1642,0.0376,0.3769,0.2616,3.3646,0.2493
83.591667,1.1642,0.0376,0.3769,0.2616,3.3646,0.2493
83.595294,0.3008,-0.2594,0.7259,0.2616,3.3646,0.2493
83.611121,0.3008,-0.2594,0.7259,0.2831,4.1603,0.7066
83.658620,0.3008,-0.2594,0.7259,0.2831,4.1603,0.7066
83.662436,0.3398,-0.3035,-0.3365,0.2831,4.1603,0.7066
83.678383,0.3398,-0.3035,-0.3365,0.2794,3.7575,0.1128
83.727439,0.3398,-0.3035,-0.3365,0.2794,3.7575,0.1128
83.731915,1.7925,0.2103,-0.7494,0.2794,3.7575,0.1128
83.747611,1.7925,0.2103,-0.7494,0.2327,3.2599,0.0491
83.794989,1.7925,0.2103,-0.7494,0.2327,3.2599,0.0491
83.797808,0.2898,0.0379,-1.1311,0.2327,3.2599,0.0491
83.815886,0.2898,0.0379,-1.1311,0.1859,3.1793,0.2979
83.862472,0.2898,0.0379,-1.1311,0.1859,3.1793,0.2979
83.867015,-0.2668,-0.0748,-1.2153,0.1859,3.1793,0.2979
