time,ax,ay,az,atotal
0.0032989978790283203,-0.03,0.05,0.2,0.2
0.014802932739257812,0.0,0.11,0.04,0.11
0.02392292022705078,0.01,0.16,-0.01,0.16
0.033493995666503906,0.02,0.13,-0.02,0.13
0.04338502883911133,0.03,0.11,-0.01,0.11
0.06963300704956055,0.03,0.11,0.03,0.11
0.07080698013305664,-0.01,0.1,0.03,0.1
0.07309699058532715,-0.04,0.12,0.0,0.12
0.08362603187561035,-0.03,0.19,-0.08,0.2
0.09316492080688477,-0.04,0.2,-0.05,0.21
0.10330486297607422,-0.05,0.13,0.04,0.14
0.1132822036743164,-0.04,0.14,0.04,0.15
0.12350201606750488,-0.02,0.17,0.05,0.17
0.13388705253601074,-0.03,0.13,0.06,0.14
0.14410400390625,-0.04,0.16,0.1,0.19
0.17504119873046875,-0.03,0.18,0.02,0.18
0.17725801467895508,-0.01,0.22,-0.04,0.22
0.17958593368530273,0.04,0.24,0.02,0.24
0.1828770637512207,0.03,0.2,-0.03,0.2
0.1924610137939453,0.0,0.2,-0.03,0.2
0.20287299156188965,0.02,0.18,-0.02,0.18
0.21386003494262695,0.06,0.25,-0.06,0.26
0.2226581573486328,0.03,0.29,-0.07,0.29
0.2330629825592041,-0.01,0.21,-0.04,0.21
0.2428112030029297,-0.04,0.21,0.0,0.21
0.2744569778442383,-0.05,0.25,-0.06,0.26
0.27669620513916016,-0.05,0.24,-0.07,0.25
0.2786850929260254,-0.01,0.23,-0.04,0.23
0.28305602073669434,0.0,0.19,0.0,0.19
0.29204893112182617,0.0,0.16,-0.01,0.16
0.3022141456604004,-0.04,0.17,-0.02,0.17
0.3128790855407715,-0.02,0.16,0.02,0.16
0.32213807106018066,0.03,0.18,-0.02,0.18
0.33241891860961914,0.05,0.22,-0.01,0.22
0.34259700775146484,-0.03,0.18,0.04,0.18
0.3738532066345215,-0.07,0.13,0.04,0.15
0.37664198875427246,-0.06,0.16,0.0,0.17
0.37870216369628906,0.02,0.15,0.02,0.15
0.38245201110839844,0.06,0.14,0.06,0.16
0.3918030261993408,-0.01,0.14,0.08,0.16
0.40190696716308594,-0.04,0.14,0.02,0.14
0.41173410415649414,-0.01,0.21,-0.11,0.23
0.42261314392089844,0.04,0.3,-0.12,0.32
0.43195605278015137,0.06,0.27,-0.1,0.29
0.4417099952697754,0.01,0.22,-0.02,0.22
0.4676070213317871,-0.02,0.2,-0.01,0.2
0.4700961112976074,-0.02,0.18,-0.02,0.18
0.471710205078125,0.01,0.15,0.05,0.15
0.482496976852417,0.03,0.14,0.12,0.18
0.49264001846313477,0.02,0.12,0.16,0.2
0.5012130737304688,0.02,0.11,0.12,0.16
0.5112590789794922,0.02,0.2,0.02,0.2
0.5214829444885254,-0.02,0.22,-0.05,0.22
0.5320260524749756,-0.04,0.19,-0.04,0.19
0.5415329933166504,-0.04,0.23,-0.05,0.23
0.5702838897705078,-0.02,0.29,-0.18,0.34
0.5722260475158691,-0.01,0.31,-0.17,0.35
0.5738930702209473,0.01,0.23,-0.07,0.24
0.5835080146789551,0.01,0.13,0.05,0.13
0.5909140110015869,0.04,0.1,0.11,0.15
0.6015090942382812,0.02,0.07,0.11,0.13
0.6109161376953125,-0.01,0.1,0.05,0.11
0.6213679313659668,0.02,0.09,0.02,0.09
0.6320180892944336,0.07,0.14,0.04,0.16
0.6410751342773438,0.07,0.14,0.09,0.18
0.6699428558349609,0.01,0.07,0.15,0.16
0.6717281341552734,-0.02,0.1,0.17,0.19
0.6734640598297119,0.0,0.16,0.08,0.17
0.6825199127197266,0.01,0.19,0.07,0.2
0.6905078887939453,0.02,0.21,0.1,0.23
0.7010531425476074,0.01,0.21,0.09,0.22
0.7110328674316406,-0.01,0.24,-0.01,0.24
0.7204949855804443,-0.01,0.3,-0.05,0.3
0.7307400703430176,-0.01,0.27,-0.06,0.27
0.7406191825866699,-0.01,0.25,-0.01,0.25
0.769489049911499,0.01,0.25,0.0,0.25
0.7714910507202148,0.01,0.24,-0.06,0.24
0.7730259895324707,0.02,0.28,-0.12,0.3
0.7825770378112793,0.04,0.31,-0.15,0.34
0.790006160736084,0.04,0.27,-0.09,0.28
0.8000950813293457,0.03,0.21,0.01,0.21
0.8099920749664307,0.03,0.16,0.05,0.17
0.820134162902832,0.0,0.12,0.05,0.13
0.8301301002502441,-0.02,0.13,0.05,0.14
0.8412671089172363,-0.01,0.12,0.01,0.12
0.8697340488433838,0.03,0.15,0.04,0.15
0.8714749813079834,0.04,0.18,0.06,0.19
0.8730590343475342,0.0,0.19,-0.02,0.19
0.88242506980896,-0.03,0.2,-0.05,0.2
0.8896629810333252,-0.03,0.21,-0.04,0.21
0.8995649814605713,-0.03,0.22,-0.06,0.23
0.9103240966796875,-0.04,0.2,-0.06,0.21
0.9198899269104004,-0.01,0.18,-0.04,0.18
0.9302120208740234,0.01,0.21,-0.05,0.21
0.9398300647735596,-0.02,0.18,-0.01,0.18
0.9691891670227051,-0.08,0.16,-0.01,0.17
0.9710650444030762,-0.06,0.23,-0.06,0.24
0.9727139472961426,-0.01,0.26,-0.07,0.26
0.9828891754150391,-0.03,0.21,0.0,0.21
0.9892768859863281,-0.07,0.16,0.06,0.18
0.9991469383239746,-0.06,0.14,-0.01,0.15
1.0093610286712646,-0.03,0.19,-0.02,0.19
1.0194120407104492,0.0,0.17,0.0,0.17
1.0295219421386719,-0.01,0.1,0.05,0.11
1.0391039848327637,-0.01,0.11,0.1,0.14
1.0689270496368408,0.05,0.17,0.02,0.17
1.0708680152893066,0.06,0.21,-0.06,0.22
1.0733940601348877,0.04,0.19,-0.01,0.19
1.0824110507965088,-0.01,0.14,0.02,0.14
1.0887551307678223,-0.01,0.17,-0.01,0.17
1.0989179611206055,0.02,0.17,0.0,0.17
1.1090149879455566,0.03,0.15,0.03,0.15
1.1193530559539795,-0.02,0.14,0.09,0.16
1.1290349960327148,-0.03,0.15,0.0,0.15
1.138875961303711,0.0,0.23,-0.08,0.24
1.163276195526123,0.0,0.26,-0.09,0.27
1.1656341552734375,-0.03,0.21,-0.04,0.21
1.168623924255371,-0.04,0.2,-0.05,0.21
1.1829981803894043,-0.01,0.24,-0.07,0.25
1.1894001960754395,-0.04,0.22,-0.05,0.22
1.1996240615844727,-0.04,0.17,0.02,0.17
1.2086260318756104,-0.01,0.19,0.04,0.19
1.2189130783081055,0.05,0.22,0.02,0.22
1.229175090789795,0.04,0.23,0.03,0.23
1.2389931678771973,0.01,0.22,0.06,0.22
1.2692160606384277,-0.04,0.15,0.12,0.19
1.2711570262908936,-0.08,0.08,0.17,0.2
1.2727999687194824,-0.04,0.11,0.16,0.19
1.28326416015625,-0.04,0.14,0.1,0.17
1.2880489826202393,-0.05,0.12,0.11,0.17
1.2994699478149414,-0.06,0.1,0.06,0.13
1.3080968856811523,-0.05,0.13,0.01,0.13
1.3181090354919434,-0.03,0.14,0.0,0.14
1.3290200233459473,-0.01,0.09,0.02,0.09
1.3381671905517578,0.01,0.11,0.03,0.11
1.3692331314086914,0.05,0.07,0.02,0.08
1.3712069988250732,0.08,0.05,-0.01,0.09
1.3727669715881348,0.16,0.13,-0.06,0.21
1.3823649883270264,0.16,0.18,-0.09,0.25
1.3876070976257324,0.13,0.2,-0.11,0.26
1.3996272087097168,0.08,0.22,-0.14,0.27
1.4074468612670898,0.05,0.22,-0.14,0.26
1.417707920074463,0.04,0.21,-0.15,0.26
1.4275689125061035,0.06,0.24,-0.15,0.28
1.43743896484375,0.06,0.25,-0.09,0.27
1.46856689453125,0.03,0.2,-0.02,0.2
1.4704971313476562,0.01,0.21,-0.02,0.21
1.4720470905303955,-0.01,0.29,-0.06,0.29
1.4825549125671387,-0.04,0.31,-0.14,0.34
1.4872729778289795,-0.05,0.33,-0.13,0.35
