time,ax,ay,az,atotal
0.00426793098449707,0.05,0.15,0.05,0.16
0.0071010589599609375,0.11,0.18,-0.03,0.21
0.020743131637573242,0.09,0.17,-0.07,0.2
0.027019023895263672,0.05,0.15,-0.05,0.16
0.03688311576843262,0.02,0.17,-0.05,0.17
0.0469210147857666,0.02,0.15,0.0,0.15
0.056967973709106445,0.04,0.18,0.02,0.18
0.07799696922302246,0.05,0.21,0.01,0.21
0.08012199401855469,0.02,0.19,0.04,0.19
0.08694911003112793,-0.01,0.19,0.03,0.19
0.09656691551208496,-0.04,0.18,0.03,0.18
0.1069340705871582,-0.08,0.14,0.07,0.17
0.11663413047790527,-0.07,0.14,0.01,0.15
0.12667489051818848,-0.04,0.14,0.02,0.14
0.13675808906555176,-0.04,0.13,0.05,0.14
0.14706110954284668,-0.01,0.16,0.01,0.16
0.15707612037658691,0.01,0.17,0.03,0.17
0.17954516410827637,0.01,0.18,0.04,0.18
0.18122601509094238,0.03,0.21,0.0,0.21
0.18681907653808594,0.01,0.2,0.07,0.21
0.19620394706726074,-0.01,0.15,0.08,0.17
0.20620417594909668,0.01,0.15,0.06,0.16
0.21639609336853027,0.04,0.18,0.07,0.19
0.22618889808654785,0.04,0.15,0.06,0.16
0.2361462116241455,0.01,0.16,0.05,0.16
0.24625301361083984,-0.01,0.18,0.03,0.18
0.2562270164489746,-0.02,0.2,-0.1,0.22
0.28238701820373535,0.03,0.23,-0.17,0.28
0.2851431369781494,0.03,0.27,-0.12,0.29
0.28781700134277344,-0.01,0.23,0.01,0.23
0.29578709602355957,-0.03,0.19,0.01,0.19
0.3058340549468994,0.0,0.24,-0.07,0.25
0.31566500663757324,-0.02,0.26,-0.08,0.27
0.3257119655609131,-0.09,0.23,-0.1,0.26
0.33568596839904785,-0.11,0.18,-0.06,0.21
0.34587907791137695,-0.05,0.17,-0.03,0.17
0.3558070659637451,-0.01,0.21,-0.02,0.21
0.3755331039428711,-0.02,0.17,0.06,0.18
0.37737107276916504,-0.03,0.16,0.07,0.17
0.38576722145080566,-0.02,0.19,0.06,0.2
0.39521193504333496,-0.03,0.17,0.09,0.19
0.4053020477294922,-0.02,0.16,0.01,0.16
0.41515302658081055,-0.02,0.16,-0.01,0.16
0.4256460666656494,-0.04,0.15,0.04,0.16
